freq,level,altitude,idx,caps,bssid,ssid,device_model,droid_version,app_version,device_mac,time,acc,lng,lat
2437,-75,-11,56763853, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 74:44:01:4d:ba:e4 , 4dbae5                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.411,-73.9377387,40.6935556
2437,-75,0,56763910, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 74:44:01:4d:ba:e4 , 4dbae5                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.631,-73.9381176,40.6935226
2422,-85,-14,56762759, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 44:94:fc:4e:81:19 , 4e811a                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.198,-73.9380831,40.6930059
2422,-85,-13,56762805, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 44:94:fc:4e:81:19 , 4e811a                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.406,-73.9377043,40.692923
2422,-85,-13,56762850, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 44:94:fc:4e:81:19 , 4e811a                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,31.867,-73.9364758,40.693202
2412,-78,0,56762421, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 48:ee:0c:4e:a8:2c , 4ea828                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.398,-73.9390935,40.6933815
2412,-73,-16,56762486, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 48:ee:0c:4e:a8:2c , 4ea828                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.638,-73.9393231,40.6931244
2412,-73,0,56762551, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 48:ee:0c:4e:a8:2c , 4ea828                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,22.206,-73.9394838,40.6930121
2412,-73,0,56762598, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 48:ee:0c:4e:a8:2c , 4ea828                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,24.447,-73.9395068,40.6930154
2412,-72,-15,56778683, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 44:94:fc:4f:ff:bc , 4fffbd                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,20.089,-73.9399545,40.6930115
2412,-72,-15,56778756, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 44:94:fc:4f:ff:bc , 4fffbd                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.715,-73.9399201,40.6930742
2462,-79,-16,56762502, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:51:68:a2 , 51689a                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.638,-73.9393231,40.6931244
2462,-79,0,56762567, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:51:68:a2 , 51689a                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,22.206,-73.9394838,40.6930121
2462,-79,0,56762613, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:51:68:a2 , 51689a                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,24.447,-73.9395068,40.6930154
2462,-79,-14,56762657, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:51:68:a2 , 51689a                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,22.593,-73.9382209,40.6928903
2412,-77,-12,56763105, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:b2:8f:53:94:c8 , 5394c0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.985,-73.9349144,40.6937716
2412,-77,-12,56763163, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:b2:8f:53:94:c8 , 5394c0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,22.604,-73.9349947,40.6937734
2412,-77,-12,56763220, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:b2:8f:53:94:c8 , 5394c0                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,25.616,-73.9349833,40.6938973
2462,-69,-14,56764357, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 48:ee:0c:53:ea:b0 , 53eaac                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,20.787,-73.9398053,40.6933862
2462,-78,-16,56762500, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:08:f5:55:cd:c4 , 55cdbc                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.638,-73.9393231,40.6931244
2462,-78,0,56762565, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:08:f5:55:cd:c4 , 55cdbc                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,22.206,-73.9394838,40.6930121
2462,-78,0,56762611, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:08:f5:55:cd:c4 , 55cdbc                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,24.447,-73.9395068,40.6930154
2462,-68,-12,56763262, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][ess]                    , 00:72:82:55:e2:32 , 55e22a                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,25.616,-73.9349833,40.6938973
2462,-68,-12,56763377, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][ess]                    , 00:72:82:55:e2:32 , 55e22a                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.679,-73.9360395,40.6938352
2412,-73,-12,56763400, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 48:ee:0c:57:13:ca , 5713c6                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.679,-73.9360395,40.6938352
2412,-73,-11,56763468, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 48:ee:0c:57:13:ca , 5713c6                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,22.686,-73.9370039,40.6937021
2437,-69,0,56762235, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:58:90:d2 , 5890ca                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,20.371,-73.9385424,40.6935348
2437,-69,0,56762297, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:58:90:d2 , 5890ca                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.152,-73.9387031,40.6934804
2437,-69,0,56762362, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:58:90:d2 , 5890ca                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.398,-73.9390935,40.6933815
2437,-69,-16,56762436, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:58:90:d2 , 5890ca                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.638,-73.9393231,40.6931244
2437,-66,0,56763950, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:58:90:d2 , 5890ca                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.631,-73.9381176,40.6935226
2437,-66,0,56764004, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:58:90:d2 , 5890ca                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,20.715,-73.9384505,40.6934831
2437,-66,0,56764058, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:58:90:d2 , 5890ca                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,20.451,-73.9387031,40.6934611
2437,-66,0,56764130, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:58:90:d2 , 5890ca                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,23.067,-73.9387261,40.6934644
2437,-65,-12,56762174, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 00:72:82:58:90:d2 , 5890ca                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,20.442,-73.9381061,40.6935693
2412,-70,-14,56764359, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 48:ee:0c:59:8b:44 , 598b40                           , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,20.787,-73.9398053,40.6933862
2462,-75,0,56763936, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 3c:1e:04:d2:9d:62 , 5star                            , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.631,-73.9381176,40.6935226
2462,-75,0,56763990, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 3c:1e:04:d2:9d:62 , 5star                            , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,20.715,-73.9384505,40.6934831
2462,-75,0,56764044, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 3c:1e:04:d2:9d:62 , 5star                            , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,20.451,-73.9387031,40.6934611
2462,-75,0,56764122, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 3c:1e:04:d2:9d:62 , 5star                            , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,23.067,-73.9387261,40.6934644
2462,-69,-12,56762036, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 3c:1e:04:d2:9d:62 , 5star                            , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,21.272,-73.9380143,40.6935948
2462,-69,-12,56762092, [wpa-psk-ccmp+tkip][wpa2-psk-ccmp+tkip][wps][ess]               , 3c:1e:04:d2:9d:62 , 5star                            , VS425        , 5.1.1         , 0.3.3       , d3a2898a5e731607 ,1.50E+12,20.031,-73.9380831,40.6935467
